Maquina,ID Tarefa,Tarefa,Frequencia,Ultima execucao,Proxima execucao,Status,Horas/Kg desde ultima,Observacoes
M0002,S04,Conferir aperto de parafusos,Semanal,,,,,
M0002,S05,Lavar build plate com agua e detergente,Semanal,,,,,
M0002,M01,Lubrificar eixo X,Mensal,,,,,
M0002,M02,Lubrificar eixos Z,Mensal,,,,,
M0002,M03,Belt tension test,Mensal,,,,,
M0002,M04,Resonance test (vibration),Mensal,,,,,
M0002,M05,Flow dynamics,Mensal,,,,,
M0002,M06,Inspecao visual do nozzle,Mensal,,,,,
M0002,T01,Trocar nozzle 0.4mm,Trimestral,,,,,
M0002,T02,Inspecionar cabo do toolhead,Trimestral,,,,,
M0002,T03,Limpeza geral interna,Trimestral,,,,,
M0002,T04,Inspecionar cabo do bed heater,Trimestral,,,,,
M0002,SEM01,Trocar nozzle 0.8mm,Semestral,,,,,
M0002,SEM02,Trocar silicone sock do hotend,Semestral,,,,,
M0002,SEM03,Cold pull,Semestral,,,,,
M0002,SEM04,Avaliar build plate,Semestral,,,,,
M0002,A01,Trocar cabo do toolhead,Anual,,,,,
M0002,A02,Avaliar e trocar fans,Anual,,,,,
M0002,A03,Revisao completa de parafusos,Anual,,,,,
M0003,D01,Limpar build plate com IPA,Diaria,,,,,
M0003,D02,Limpar bico com escova de latao,Diaria,,,,,
M0003,D03,Acompanhar primeira camada,Diaria,,,,,
M0003,D04,Verificar AMS / spool,Diaria,,,,,
M0003,S01,Limpar engrenagem do extrusor,Semanal,,,,,
M0003,S02,Limpar lidar (sensor de leveling),Semanal,,,,,
M0003,S03,Limpar fans,Semanal,,,,,
M0003,S04,Conferir aperto de parafusos,Semanal,,,,,
M0003,S05,Lavar build plate com agua e detergente,Semanal,,,,,
M0003,M01,Lubrificar eixo X,Mensal,,,,,
M0003,M02,Lubrificar eixos Z,Mensal,,,,,
M0003,M03,Belt tension test,Mensal,,,,,
M0003,M04,Resonance test (vibration),Mensal,,,,,
M0003,M05,Flow dynamics,Mensal,,,,,
M0003,M06,Inspecao visual do nozzle,Mensal,,,,,
M0003,T01,Trocar nozzle 0.4mm,Trimestral,,,,,
M0003,T02,Inspecionar cabo do toolhead,Trimestral,,,,,
M0003,T03,Limpeza geral interna,Trimestral,,,,,
M0003,T04,Inspecionar cabo do bed heater,Trimestral,,,,,
M0003,SEM01,Trocar nozzle 0.8mm,Semestral,,,,,
M0003,SEM02,Trocar silicone sock do hotend,Semestral,,,,,
M0003,SEM03,Cold pull,Semestral,,,,,
M0003,SEM04,Avaliar build plate,Semestral,,,,,
M0003,A01,Trocar cabo do toolhead,Anual,,,,,
M0003,A02,Avaliar e trocar fans,Anual,,,,,
M0003,A03,Revisao completa de parafusos,Anual,,,,,
M0004,D01,Limpar build plate com IPA,Diaria,,,,,
M0004,D02,Limpar bico com escova de latao,Diaria,,,,,
M0004,D03,Acompanhar primeira camada,Diaria,,,,,
M0004,D04,Verificar AMS / spool,Diaria,,,,,
M0004,S01,Limpar engrenagem do extrusor,Semanal,,,,,
M0004,S02,Limpar lidar (sensor de leveling),Semanal,,,,,
M0004,S03,Limpar fans,Semanal,,,,,
M0004,S04,Conferir aperto de parafusos,Semanal,,,,,
M0004,S05,Lavar build plate com agua e detergente,Semanal,,,,,
M0004,M01,Lubrificar eixo X,Mensal,,,,,
M0004,M02,Lubrificar eixos Z,Mensal,,,,,
M0004,M03,Belt tension test,Mensal,,,,,
M0004,M04,Resonance test (vibration),Mensal,,,,,
M0004,M05,Flow dynamics,Mensal,,,,,
M0004,M06,Inspecao visual do nozzle,Mensal,,,,,
M0004,T01,Trocar nozzle 0.4mm,Trimestral,,,,,
M0004,T02,Inspecionar cabo do toolhead,Trimestral,,,,,
M0004,T03,Limpeza geral interna,Trimestral,,,,,
M0004,T04,Inspecionar cabo do bed heater,Trimestral,,,,,
M0004,SEM01,Trocar nozzle 0.8mm,Semestral,,,,,
M0004,SEM02,Trocar silicone sock do hotend,Semestral,,,,,
M0004,SEM03,Cold pull,Semestral,,,,,
M0004,SEM04,Avaliar build plate,Semestral,,,,,
M0004,A01,Trocar cabo do toolhead,Anual,,,,,
M0004,A02,Avaliar e trocar fans,Anual,,,,,
M0004,A03,Revisao completa de parafusos,Anual,,,,,
